fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,9.7,13.2,11.0,9.8,57.2,40.8,41.5,41.4,3.6,8.6,6.6,6.6,1018.3
3,9.3,10.4,11.4,10.2,65.6,58.6,51.4,53.3,4.1,8.2,8.5,8.5,1018.6
6,8.4,9.6,12.1,10.9,74.7,66.6,53.6,54.7,3.1,5.8,4.7,4.7,1017.9
9,6.9,9.7,12.3,11.2,84.4,68.7,50.5,51.7,3.2,3.9,4.9,4.9,1017.2
12,8.7,10.4,12.5,11.4,80.6,66.9,49.1,50.6,4.5,5.0,3.8,3.8,1018.0
15,17.1,15.2,13.3,11.9,56.5,58.5,51.0,55.0,2.3,2.4,3.2,3.2,1017.1
18,20.3,18.8,14.5,12.4,48.3,48.8,58.6,64.1,0.4,0.9,2.4,2.4,1014.8
21,16.8,17.2,14.0,12.1,68.9,61.0,64.7,70.6,4.2,4.3,4.4,4.4,1014.8
24,14.1,15.5,12.8,11.3,80.5,68.0,69.8,74.3,2.5,4.6,6.4,6.4,1016.3
27,12.7,13.3,11.8,10.5,87.8,78.2,67.8,68.0,3.4,6.1,11.0,11.0,1017.6
30,12.2,12.6,11.8,10.2,84.9,77.3,50.6,47.3,4.7,8.4,14.0,14.0,1018.0
33,11.5,12.0,11.5,10.6,70.2,61.7,26.8,27.2,5.9,8.7,11.9,11.9,1017.6
36,11.1,10.6,8.2,8.1,44.5,38.0,30.7,31.0,7.9,10.1,14.6,14.6,1020.8
39,12.9,10.7,6.7,7.5,35.7,34.8,39.6,28.8,6.8,8.2,11.6,11.6,1022.1
42,13.7,11.8,7.6,5.6,39.5,39.1,48.4,49.4,6.5,7.5,8.7,8.7,1021.1
