fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,2.8,1.7,-1.1,-2.4,94.8,96.0,99.0,99.4,0.8,2.1,1.8,1.8,1025.8
3,2.2,1.8,-1.0,-2.3,96.8,93.6,95.0,96.9,0.5,0.9,0.7,0.7,1026.4
6,0.9,1.9,-0.7,-1.9,98.3,91.1,89.7,92.2,1.2,0.8,2.6,2.6,1025.5
9,0.4,1.8,-0.5,-2.0,98.6,89.9,87.2,91.0,1.3,1.4,4.1,4.1,1025.7
12,0.8,1.1,-0.7,-2.1,95.6,92.2,86.5,89.0,1.8,2.3,1.8,1.8,1027.0
15,4.8,2.1,-0.8,-1.9,78.0,87.3,92.3,88.6,2.4,3.0,1.9,1.9,1027.0
18,6.8,4.4,0.4,-1.4,66.0,72.1,88.8,97.0,2.1,2.5,2.4,2.4,1024.3
21,6.5,5.0,1.0,-1.0,66.6,69.9,87.1,97.1,2.5,3.8,4.6,4.6,1024.0
24,5.1,4.6,0.9,-1.1,74.7,72.6,87.6,96.6,2.1,5.4,6.7,6.7,1024.6
27,4.7,4.3,1.1,-0.7,76.3,73.1,84.1,91.0,1.8,5.8,9.0,9.0,1024.8
30,3.9,3.9,1.4,0.1,78.7,73.5,77.4,79.9,2.9,7.1,10.0,10.0,1023.8
33,3.8,3.4,1.1,-0.1,77.8,75.7,79.8,80.6,2.4,6.8,11.0,11.0,1023.6
36,4.0,2.8,1.0,0.1,78.7,79.8,79.5,78.7,3.8,8.0,12.2,12.2,1025.0
39,5.1,3.2,0.7,0.1,75.3,80.8,80.4,78.1,3.5,5.6,11.3,11.3,1025.5
42,5.7,4.0,0.4,-0.3,76.3,81.4,96.2,96.9,4.4,6.3,7.0,7.0,1023.6
