fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,0.7,4.1,1.8,0.3,49.2,29.6,24.9,23.5,8.2,10.3,6.4,6.4,1026.7
3,-0.5,3.2,2.4,1.1,58.5,36.0,23.6,22.4,4.9,7.5,7.0,7.0,1027.0
6,-1.9,3.1,3.3,2.0,68.9,36.2,22.2,22.5,2.8,3.7,6.5,6.5,1026.3
9,-2.6,3.3,3.7,2.7,74.8,34.3,22.4,22.8,4.0,4.0,4.7,4.7,1025.4
12,-0.9,3.5,3.7,2.8,72.0,34.6,22.6,24.0,5.4,6.8,2.2,2.2,1026.5
15,6.8,4.5,4.3,3.2,51.2,44.2,20.5,23.2,3.4,6.0,3.7,3.7,1026.4
18,10.4,8.2,4.9,3.8,35.3,34.9,26.7,20.6,3.8,4.2,4.4,4.4,1023.9
21,5.5,8.1,5.5,4.5,56.8,37.6,23.8,19.3,4.4,5.5,4.2,4.2,1023.7
24,2.3,7.1,6.0,5.0,67.1,39.2,19.1,17.9,5.6,7.1,5.3,5.3,1024.3
27,1.2,6.3,5.6,5.0,69.0,39.9,26.0,17.8,5.0,7.7,7.6,7.6,1024.1
30,-0.4,5.3,5.8,5.5,74.8,43.2,27.5,15.2,4.0,6.3,6.2,6.2,1023.9
33,-1.2,4.9,6.1,5.6,79.8,43.8,23.8,15.4,2.1,4.7,2.8,2.8,1023.8
36,0.2,3.8,6.7,6.1,74.8,47.8,18.3,12.4,3.8,6.6,5.0,5.0,1023.8
39,6.8,4.4,6.2,5.7,55.9,58.2,21.7,15.4,0.6,1.0,4.4,4.4,1023.7
42,8.4,6.9,6.0,5.4,51.8,52.5,26.5,20.0,2.0,2.8,5.4,5.4,1021.2
