fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,1.2,-0.2,-3.0,-4.4,89.1,86.4,88.6,87.6,3.3,7.7,9.3,9.3,1028.8
3,0.8,-0.7,-3.1,-4.4,88.1,88.7,92.1,93.8,3.5,7.2,7.3,7.3,1029.2
6,0.6,-0.8,-3.2,-4.4,84.4,86.7,94.0,96.4,2.9,6.4,7.7,7.7,1028.2
9,0.4,-0.8,-3.3,-4.4,86.6,89.8,93.4,94.5,2.8,6.4,7.4,7.4,1026.0
12,0.6,-0.9,-3.3,-4.5,86.5,90.0,85.1,80.5,2.6,5.3,6.7,6.7,1027.6
15,2.9,0.4,-3.5,-4.7,67.4,75.1,85.9,75.5,3.3,4.5,5.5,5.5,1027.6
18,3.6,1.5,-2.5,-4.4,58.3,63.3,78.3,86.0,2.8,3.7,4.2,4.2,1024.7
21,2.7,1.2,-2.6,-4.4,63.2,67.3,80.4,84.7,2.7,4.2,5.5,5.5,1024.6
24,1.5,0.8,-2.5,-4.2,76.8,68.8,70.6,72.6,1.1,2.7,6.0,6.0,1026.0
27,-0.4,0.9,-2.3,-4.0,81.2,63.2,61.5,64.0,1.7,2.5,5.1,5.1,1026.0
30,-2.1,0.8,-2.2,-4.0,84.9,58.2,58.3,62.9,2.1,2.4,4.2,4.2,1026.1
33,-3.1,0.5,-2.2,-3.9,87.1,56.5,57.5,63.0,2.3,3.8,4.6,4.6,1025.3
36,-1.9,0.1,-2.3,-4.0,84.9,59.5,56.3,59.9,1.5,3.6,4.1,4.1,1027.2
39,4.4,1.6,-2.1,-3.7,52.7,57.6,59.5,52.0,0.8,1.5,3.5,3.5,1028.0
42,6.5,3.9,-0.2,-2.3,41.4,42.9,53.3,59.1,0.8,1.3,1.8,1.8,1025.8
