fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,20.5,23.0,20.0,18.0,66.0,49.8,51.7,55.2,4.2,7.7,6.1,6.1,1018.3
3,19.6,21.2,19.4,17.5,66.5,53.4,49.7,51.2,5.0,8.3,7.9,7.9,1019.5
6,18.3,19.9,18.9,17.1,66.6,54.9,42.6,46.2,4.5,7.9,8.8,8.8,1019.3
9,17.2,18.6,18.3,16.7,74.0,65.2,40.3,41.5,4.0,7.6,10.3,10.3,1019.5
12,18.8,18.0,17.7,16.2,76.8,72.7,39.1,37.3,3.4,7.5,11.2,11.2,1021.4
15,23.3,21.1,17.3,16.0,52.8,54.9,49.9,38.0,4.6,6.3,10.4,10.4,1021.2
18,24.8,23.0,18.6,16.4,43.6,43.1,52.4,57.8,4.7,6.5,7.5,7.5,1018.9
21,22.6,22.6,18.5,16.3,56.8,51.0,59.4,65.6,3.2,6.3,8.1,8.1,1019.2
24,19.7,20.6,18.1,16.3,66.6,59.4,61.6,66.2,3.9,9.0,11.0,11.0,1019.7
27,18.7,19.3,18.0,16.6,69.5,63.9,63.4,66.1,3.0,8.1,13.7,13.7,1020.2
30,18.3,18.3,17.6,16.7,77.0,75.0,74.4,69.8,3.5,7.8,11.8,11.8,1019.2
33,17.7,17.7,17.5,16.7,85.9,84.0,78.8,71.9,3.1,7.2,8.8,8.8,1018.9
36,19.2,17.7,17.8,17.0,84.7,88.8,78.4,70.7,2.3,5.4,7.2,7.2,1019.8
39,23.8,21.6,18.0,17.3,70.0,75.3,82.0,73.3,2.6,3.2,4.5,4.5,1018.8
42,25.1,23.7,19.6,17.8,62.9,64.7,76.3,76.8,0.4,0.6,1.7,1.7,1016.4
