fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,-1.4,-3.0,-4.5,-5.1,94.4,98.8,99.0,99.0,5.1,7.5,5.0,5.0,1027.8
3,-1.8,-3.5,-5.0,-5.6,92.9,99.1,98.4,97.7,4.4,6.9,6.0,6.0,1030.2
6,-2.3,-4.0,-6.0,-7.1,93.0,99.5,99.3,99.3,5.7,7.3,8.6,8.6,1029.3
9,-2.6,-4.2,-6.5,-8.0,91.8,99.0,97.9,98.8,3.9,5.6,7.8,7.8,1029.4
12,-2.6,-4.6,-6.8,-8.3,89.1,96.7,94.8,98.1,3.8,5.7,6.3,6.3,1031.7
15,-1.6,-4.3,-6.4,-7.0,80.8,90.7,89.9,83.6,4.6,5.5,5.5,5.5,1031.7
18,-0.8,-3.5,-5.5,-5.5,78.2,88.2,82.9,74.0,4.7,5.4,5.9,5.9,1030.3
21,-1.7,-3.7,-4.4,-3.7,82.2,90.7,70.0,58.7,3.9,4.3,5.6,5.6,1030.1
24,-3.4,-4.6,-3.8,-3.0,87.6,93.7,62.3,54.5,2.9,3.3,4.6,4.6,1031.1
27,-5.0,-4.9,-3.6,-2.7,90.8,92.5,59.9,52.2,1.4,3.0,4.9,4.9,1031.7
30,-4.8,-4.8,-3.8,-2.8,89.9,89.5,62.2,52.4,3.7,4.4,5.5,5.5,1031.0
33,-5.0,-4.3,-4.8,-3.9,89.6,84.2,70.8,57.1,2.8,4.1,6.1,6.1,1031.4
36,-4.2,-3.9,-4.8,-4.3,87.2,79.1,70.9,59.8,1.8,3.5,5.9,5.9,1032.2
39,-1.7,-3.2,-4.2,-3.4,78.5,72.8,64.5,54.3,1.8,4.1,5.5,5.5,1032.2
42,0.0,-2.2,-3.6,-3.1,72.6,74.6,59.2,51.0,3.0,3.2,4.2,4.2,1029.9
