fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.1,2.9,-0.3,-1.0,34.7,37.6,35.0,30.0,2.7,3.0,2.8,2.8,1034.8
3,3.9,2.5,-0.5,-1.5,42.8,39.8,33.9,32.2,3.9,4.6,3.9,3.9,1035.5
6,0.9,2.0,-0.5,-1.7,61.0,40.2,31.0,30.2,3.9,4.7,4.5,4.5,1034.1
9,-0.4,1.7,-0.8,-1.9,70.3,40.1,30.6,29.5,2.2,3.4,4.4,4.4,1033.6
12,0.7,1.4,-0.8,-1.9,69.6,40.6,30.5,28.9,0.5,1.7,2.6,2.6,1034.6
15,6.6,3.1,-0.8,-1.9,34.0,38.3,41.1,31.2,0.8,0.6,0.4,0.4,1034.1
18,8.5,5.5,1.4,-0.6,28.8,31.0,38.5,41.8,1.6,1.1,0.9,0.9,1031.1
21,6.0,5.9,2.0,0.1,39.6,30.3,37.2,39.9,2.6,1.8,1.2,1.2,1030.3
24,3.0,5.4,1.9,0.1,51.7,31.4,36.7,38.3,3.2,3.1,0.8,0.8,1030.4
27,1.8,5.1,1.8,0.2,58.7,32.5,35.0,35.7,3.7,4.1,1.2,1.2,1030.3
30,0.9,4.8,1.9,0.7,64.7,33.4,33.3,31.0,3.0,3.8,0.8,0.8,1029.7
33,0.6,4.4,2.1,1.2,67.5,34.5,31.5,27.3,3.5,4.5,1.1,1.1,1028.5
36,2.7,4.4,2.5,1.9,60.3,33.2,29.2,26.4,3.6,5.1,1.4,1.4,1029.3
39,9.3,6.2,3.4,2.7,32.4,34.9,28.2,23.8,2.9,3.0,2.2,2.2,1029.2
42,11.6,9.1,5.0,3.4,27.4,28.1,34.0,29.4,1.4,1.0,1.4,1.4,1026.5
