fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.8,6.0,3.2,1.5,64.7,52.2,45.4,53.8,4.0,6.6,4.9,4.9,1033.4
3,4.5,5.2,2.3,0.7,77.4,57.3,56.6,60.4,1.9,4.8,4.7,4.7,1034.3
6,3.2,4.5,2.2,0.7,83.6,63.6,55.6,56.9,0.7,2.2,4.4,4.4,1033.7
9,2.4,3.9,1.8,0.3,88.9,70.7,62.0,59.9,3.4,3.1,3.6,3.6,1033.3
12,2.3,3.2,1.4,0.0,90.5,77.2,68.9,67.8,3.7,5.6,3.2,3.2,1035.1
15,6.2,3.2,1.3,-0.0,72.4,81.8,75.4,74.9,2.2,4.1,3.5,3.5,1035.5
18,9.0,5.9,1.9,-0.1,55.9,63.8,78.4,84.7,2.8,3.1,4.0,4.0,1033.0
21,7.2,6.2,2.2,0.1,60.9,59.8,73.6,81.0,2.8,4.0,4.4,4.4,1033.3
24,3.3,5.4,1.7,-0.2,78.3,61.6,73.2,78.8,2.5,6.1,5.3,5.3,1034.4
27,1.3,4.9,1.5,-0.3,87.2,62.6,72.4,74.6,3.1,5.5,5.2,5.2,1034.9
30,0.4,4.1,1.3,-0.4,89.2,66.1,75.4,78.9,2.9,6.1,4.2,4.2,1034.5
33,-0.4,3.4,1.1,-0.4,91.6,72.2,78.5,75.7,2.1,5.9,3.1,3.1,1033.6
36,0.2,2.9,0.9,-0.4,90.9,74.0,79.0,71.6,2.7,6.4,3.7,3.7,1034.7
39,6.9,3.5,0.9,-0.3,62.3,72.5,75.9,66.5,2.6,4.1,4.2,4.2,1034.2
42,9.4,6.4,2.3,0.3,48.8,54.9,68.3,70.3,2.2,2.9,3.3,3.3,1031.0
