fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,6.6,8.5,5.2,3.5,85.5,69.2,77.1,79.8,1.1,1.8,3.2,3.2,1023.4,340,20
3,5.8,7.6,4.6,3.0,89.3,74.1,76.1,75.4,2.4,3.3,4.7,4.7,1024.3,340,23
6,5.1,6.6,4.2,3.2,91.2,78.9,69.3,57.8,2.9,4.3,7.1,7.1,1024.4,341,2
9,3.9,5.8,4.1,3.6,94.8,82.7,63.0,44.3,2.1,3.4,6.2,6.2,1023.3,341,5
12,4.4,5.1,3.6,3.3,93.7,85.9,68.2,43.5,2.6,3.1,5.9,5.9,1024.4,341,8
15,9.7,7.0,3.6,3.5,64.0,72.9,72.1,42.6,1.5,1.5,3.7,3.7,1025.1,341,11
18,11.9,9.7,5.6,4.1,50.2,55.2,64.7,53.8,0.6,1.2,2.3,2.3,1023.1,341,14
21,9.4,10.0,6.3,4.9,61.8,52.1,55.9,45.2,0.6,1.2,3.0,3.0,1023.5,341,17
24,6.6,9.5,6.5,4.9,76.7,53.8,48.6,46.8,1.8,2.8,3.1,3.1,1024.1,341,20
27,5.2,8.9,6.0,4.3,82.4,54.7,53.0,52.1,1.1,1.1,3.5,3.5,1026.0,341,23
30,4.2,8.0,5.4,3.7,86.9,58.3,57.5,53.7,1.3,1.8,3.4,3.4,1026.5,342,2
33,3.4,7.0,4.6,3.1,89.0,63.9,63.9,58.5,2.9,2.7,2.6,2.6,1026.7,342,5
36,4.4,6.4,4.1,2.8,86.3,67.3,66.0,56.0,3.5,4.1,3.7,3.7,1028.8,342,8
39,9.9,7.0,3.5,2.2,60.3,69.0,72.4,63.1,4.5,5.4,6.7,6.7,1029.9,342,11
42,10.5,8.0,3.9,1.8,50.3,55.3,69.5,77.0,6.3,7.1,7.7,7.7,1028.9,342,14
