fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,13.4,14.3,13.9,13.5,82.2,77.6,75.3,76.5,9.0,7.3,14.9,14.9,1010.5,48,20
3,12.4,13.7,14.7,14.6,88.6,83.5,77.2,78.6,8.5,7.0,16.1,16.1,1010.6,48,23
6,12.4,13.5,15.4,14.9,91.1,86.4,78.8,81.0,7.4,5.7,16.0,16.0,1009.9,49,2
9,12.4,13.7,15.5,15.2,92.1,88.1,80.3,79.7,8.2,5.6,17.6,17.6,1008.2,49,5
12,14.9,15.2,15.4,15.3,86.3,84.9,81.5,79.4,9.7,7.2,19.1,19.1,1008.6,49,8
15,20.2,19.4,15.8,15.4,70.2,72.1,81.8,81.0,9.6,7.8,18.4,18.4,1008.5,49,11
18,23.3,22.5,18.4,16.4,61.1,61.7,75.0,81.6,11.4,8.4,14.0,14.0,1005.3,49,14
21,21.5,21.7,18.4,16.7,70.0,69.4,77.3,81.7,9.4,6.8,14.7,14.7,1005.4,49,17
24,17.3,18.2,16.9,16.0,91.2,88.6,85.8,86.8,1.4,1.9,9.3,9.3,1008.0,49,20
27,15.6,17.0,16.2,15.3,96.8,92.9,89.7,89.9,2.2,2.7,6.1,6.1,1009.3,49,23
30,15.2,15.5,14.3,13.4,96.9,96.2,92.3,94.6,4.5,5.3,9.8,9.8,1011.7,50,2
33,14.3,14.2,12.4,11.6,93.8,93.6,90.0,85.0,5.0,6.0,9.9,9.9,1013.1,50,5
36,13.5,12.6,12.0,12.2,92.9,95.7,88.4,75.1,3.8,4.6,4.8,4.8,1015.5,50,8
39,15.1,13.3,10.2,10.7,82.8,89.2,99.2,88.7,4.9,5.1,4.5,4.5,1017.1,50,11
42,15.4,14.1,10.2,9.3,77.9,82.0,99.0,98.9,5.0,5.6,5.8,5.8,1015.6,50,14
