fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,16.9,17.7,15.4,14.3,64.8,59.1,60.7,56.3,3.9,8.6,10.3,10.3,1022.0,293,20
3,15.8,16.4,15.8,14.8,70.2,64.5,56.2,52.4,3.8,8.0,7.7,7.7,1022.3,293,23
6,14.9,15.5,16.3,15.4,73.8,67.2,52.0,47.3,3.7,6.7,5.7,5.7,1021.4,294,2
9,13.6,15.1,16.5,15.7,80.7,69.1,48.6,42.9,2.5,4.4,3.3,3.3,1021.4,294,5
12,15.0,15.1,16.8,16.2,76.7,68.9,44.8,35.9,2.4,4.0,0.6,0.6,1022.5,294,8
15,17.9,16.1,16.4,15.6,66.2,69.6,47.1,41.3,1.0,1.4,2.0,2.0,1022.9,294,11
18,19.9,18.2,16.3,15.6,58.6,61.8,49.0,40.8,0.7,0.8,2.8,2.8,1020.8,294,14
21,19.0,18.7,16.5,15.8,70.1,60.1,49.4,37.6,1.1,1.4,3.0,3.0,1020.8,294,17
24,15.2,18.0,16.7,16.2,82.5,63.2,46.1,32.2,2.4,2.9,2.5,2.5,1021.6,294,20
27,13.5,17.5,16.7,16.4,89.0,65.3,43.5,29.4,1.6,2.2,1.9,1.9,1022.1,294,23
30,12.4,17.0,16.3,16.1,92.2,66.7,46.7,29.7,1.9,1.8,3.1,3.1,1021.8,295,2
33,11.3,16.4,15.7,15.4,95.1,69.4,51.8,33.9,2.7,2.7,4.2,4.2,1021.4,295,5
36,14.7,15.9,15.4,15.2,84.5,71.0,51.5,31.8,3.0,3.6,4.5,4.5,1023.2,295,8
39,21.5,18.8,15.1,15.1,54.8,60.4,59.2,33.0,3.1,3.2,4.7,4.7,1023.0,295,11
42,23.8,21.6,17.2,15.1,43.3,45.4,55.2,56.7,3.6,3.8,4.3,4.3,1020.6,295,14
