fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,0.7,-1.7,-3.2,-3.9,79.3,88.8,74.1,65.9,5.1,6.3,8.2,8.2,1036.9
3,-0.2,-1.9,-3.6,-4.3,75.7,74.2,47.7,41.0,5.2,7.6,8.0,8.0,1038.5
6,-1.4,-1.7,-3.5,-4.4,76.4,63.6,45.6,39.1,4.6,8.5,11.1,11.1,1038.0
9,-0.9,-1.8,-4.2,-5.6,69.4,62.2,45.3,38.6,5.9,12.6,15.5,15.5,1037.7
12,-0.5,-2.9,-6.7,-8.2,38.2,37.2,39.4,35.1,9.2,13.0,15.6,15.6,1039.4
15,-0.1,-4.0,-8.0,-10.0,26.4,28.7,37.8,42.0,9.0,10.4,11.3,11.3,1041.2
18,0.3,-3.4,-7.4,-9.4,24.7,26.1,34.4,40.2,7.0,8.9,9.6,9.6,1038.7
21,-1.3,-3.0,-6.9,-8.9,28.4,26.7,33.7,38.2,5.0,8.5,9.8,9.8,1037.7
24,-3.2,-3.3,-6.8,-8.7,36.3,27.1,29.7,31.0,3.9,10.0,13.3,13.3,1038.0
27,-3.8,-3.3,-5.8,-7.3,38.4,24.4,18.7,17.6,3.5,10.7,14.3,14.3,1037.8
30,-4.3,-2.7,-4.4,-5.9,40.0,21.9,15.7,15.4,2.7,9.9,14.2,14.2,1036.3
33,-4.7,-2.1,-3.5,-5.2,45.0,23.1,16.8,16.8,2.1,8.1,11.6,11.6,1034.2
36,-3.2,-1.8,-3.3,-5.0,46.8,24.6,16.6,16.8,1.9,6.6,8.8,8.8,1034.0
39,3.2,-0.1,-3.0,-4.6,30.2,31.0,16.8,16.8,2.0,3.4,6.8,6.8,1033.0
42,5.7,3.0,-1.2,-3.2,22.4,21.2,26.7,29.8,3.3,4.7,5.5,5.5,1029.3
