fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,15.4,18.8,15.0,12.9,77.6,57.4,68.0,75.7,2.9,5.7,5.4,5.4,1021.2
3,14.2,17.3,14.5,12.4,80.8,61.8,70.0,77.5,3.0,7.3,6.6,6.6,1021.5
6,12.8,15.9,14.1,12.1,87.4,68.7,71.5,78.0,2.5,5.8,5.2,5.2,1020.9
9,12.0,14.2,13.5,11.8,92.2,79.6,75.9,79.8,1.9,6.1,5.7,5.7,1020.2
12,14.7,13.7,13.0,11.3,84.2,83.8,79.2,83.2,1.5,4.6,4.9,4.9,1021.3
15,20.3,17.7,13.4,11.4,59.8,64.9,78.6,85.2,2.6,3.3,4.3,4.3,1020.7
18,22.0,20.0,15.5,13.3,50.4,52.1,64.7,72.4,3.6,3.8,4.3,4.3,1018.2
21,20.2,20.1,15.9,13.7,58.9,52.8,63.6,71.1,3.3,4.3,4.8,4.8,1017.6
24,16.1,18.9,15.5,13.4,75.6,57.8,65.6,72.9,4.1,5.3,5.1,5.1,1018.9
27,14.5,17.3,15.1,13.1,82.0,63.9,67.2,74.1,4.3,6.4,4.9,4.9,1019.4
30,13.2,16.1,14.7,12.8,88.6,70.8,70.1,76.3,3.5,6.2,4.9,4.9,1019.2
33,12.2,14.7,14.1,12.4,93.1,78.8,73.6,78.7,2.3,5.3,5.3,5.3,1019.3
36,15.0,14.1,13.5,11.9,83.9,82.2,78.0,81.9,1.6,4.5,5.3,5.3,1020.8
39,20.5,17.9,13.6,11.8,60.7,66.1,81.0,82.7,2.9,3.5,5.2,5.2,1020.5
42,22.4,20.3,15.9,13.7,50.4,52.3,64.9,72.2,3.3,3.6,4.1,4.1,1017.9
