fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.1,5.6,1.7,-0.3,65.4,50.5,63.6,70.4,1.8,3.4,3.8,3.8,1033.7
3,3.8,3.5,0.5,-1.1,78.2,67.1,75.8,80.7,4.2,4.1,2.5,2.5,1034.9
6,2.6,1.9,-0.1,-1.4,89.2,83.0,83.0,79.6,4.7,4.2,3.3,3.3,1034.9
9,1.7,1.3,-0.5,-1.7,95.8,89.5,85.8,76.9,2.5,2.6,2.6,2.6,1035.0
12,2.1,0.6,-1.1,-2.0,93.6,94.1,90.6,81.3,2.6,4.0,3.3,3.3,1036.3
15,5.5,1.9,-1.7,-3.0,70.7,82.2,95.1,96.7,3.1,4.3,3.7,3.7,1037.0
18,7.7,4.4,0.3,-1.7,52.8,58.0,70.9,78.0,0.9,2.0,3.2,3.2,1034.4
21,7.5,5.4,1.5,-0.6,48.8,47.5,58.0,64.5,1.2,0.2,2.3,2.3,1033.8
24,2.3,4.8,1.2,-0.7,72.3,49.6,55.5,60.3,1.9,1.6,3.7,3.7,1034.2
27,0.1,3.7,0.6,-1.2,79.9,52.4,56.9,60.0,2.7,4.0,4.6,4.6,1034.5
30,-1.1,2.7,-0.1,-1.8,82.0,53.9,59.0,61.6,2.2,3.6,3.6,3.6,1035.1
33,-1.9,2.1,-0.3,-1.4,84.9,57.7,56.6,53.0,2.4,3.0,2.2,2.2,1034.2
36,-0.1,1.7,0.0,-0.7,83.2,60.0,50.5,38.1,3.7,4.8,3.9,3.9,1035.1
39,6.9,3.2,0.1,-0.2,54.9,61.2,48.8,28.4,3.5,3.8,4.4,4.4,1035.0
42,9.6,6.3,2.2,0.3,42.7,44.2,53.1,52.9,3.0,3.3,4.0,4.0,1032.1
