fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,7.5,9.9,6.6,4.5,57.3,39.3,40.4,43.9,3.2,9.5,12.9,12.9,1029.7,320,20
3,6.5,9.3,6.7,4.7,59.7,39.5,34.8,36.4,3.1,9.7,10.8,10.8,1029.5,320,23
6,5.6,8.8,7.0,5.2,61.6,40.1,33.5,35.4,2.7,8.9,12.1,12.1,1028.1,321,2
9,5.4,8.8,8.1,6.4,62.0,40.3,30.4,29.9,3.1,9.3,14.7,14.7,1026.6,321,5
12,7.6,8.2,8.3,6.6,55.8,42.8,28.1,25.8,4.5,10.7,16.5,16.5,1027.1,321,8
15,13.7,10.8,7.4,6.1,38.5,40.6,30.4,24.6,5.9,7.9,14.0,14.0,1027.3,321,11
18,14.7,12.4,8.1,6.0,29.2,28.4,35.1,39.0,5.4,6.2,7.0,7.0,1025.5,321,14
21,10.6,11.7,7.7,5.7,43.6,30.8,35.8,38.5,5.2,6.0,6.5,6.5,1025.8,321,17
24,6.9,10.2,6.7,5.0,55.7,31.3,32.6,32.0,5.6,6.8,6.7,6.7,1027.4,321,20
27,5.1,9.1,6.3,4.9,62.3,27.4,21.9,22.0,5.1,5.7,8.0,8.0,1028.9,321,23
30,3.5,8.4,6.1,4.9,68.6,24.7,14.0,13.6,3.3,3.9,7.1,7.1,1028.7,322,2
33,2.7,7.6,5.3,4.3,69.3,23.3,11.1,11.3,2.4,3.8,4.0,4.0,1028.9,322,5
36,4.9,7.0,5.5,4.7,62.1,17.8,10.4,16.0,2.3,3.9,2.3,2.3,1030.0,322,8
39,11.6,8.5,6.1,5.4,27.0,26.0,13.2,20.5,3.0,3.3,0.9,0.9,1029.7,322,11
42,13.6,11.1,7.1,6.2,27.0,25.8,29.1,25.3,4.0,4.1,3.7,3.7,1026.5,322,14
