fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,8.3,13.1,10.5,8.6,50.2,29.3,28.1,29.7,0.2,1.9,5.7,5.7,1020.5
3,6.1,12.3,10.3,8.4,63.1,32.6,31.1,33.4,1.7,2.5,6.1,6.1,1021.5
6,4.8,11.6,10.2,8.5,71.9,36.0,35.8,36.6,0.9,3.7,7.1,7.1,1020.7
9,3.9,10.3,9.9,8.4,78.8,43.7,38.9,38.0,2.0,3.2,6.3,6.3,1020.1
12,5.6,9.8,9.7,8.3,75.5,47.8,38.4,36.1,2.9,3.4,4.5,4.5,1020.6
15,14.2,12.2,10.2,8.6,47.8,48.7,35.1,33.0,1.4,2.2,4.4,4.4,1019.5
18,17.0,15.6,11.4,9.4,34.2,33.7,39.5,39.7,1.6,1.6,2.3,2.3,1015.9
21,12.6,15.4,11.8,10.0,52.6,36.1,39.2,39.7,3.3,4.2,3.7,3.7,1015.5
24,10.0,13.5,12.1,10.5,61.2,44.6,36.6,36.7,7.2,7.5,7.6,7.6,1015.9
27,8.3,12.2,12.6,10.9,67.7,48.3,34.9,35.9,5.4,6.0,6.5,6.5,1015.9
30,6.5,11.1,12.5,10.9,74.5,50.2,32.3,34.3,2.1,3.7,6.0,6.0,1015.4
33,5.2,10.2,12.5,10.9,79.7,52.1,28.4,30.5,2.7,2.9,5.9,5.9,1014.7
36,6.8,10.1,12.2,10.8,74.4,51.0,29.3,32.8,3.3,3.7,4.3,4.3,1016.2
39,15.4,13.6,12.5,11.0,46.7,48.1,30.3,34.4,1.9,2.4,4.7,4.7,1016.2
42,18.4,17.3,13.2,11.3,36.3,35.7,39.7,39.7,1.9,2.8,4.8,4.8,1013.4
