fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,20.5,20.2,18.0,17.6,81.2,79.5,91.1,97.9,3.1,6.7,11.3,11.3,1019.5,286,20
3,20.6,20.2,18.5,18.3,83.5,83.1,96.7,99.7,3.7,7.2,11.2,11.2,1019.3,286,23
6,20.5,20.1,19.1,18.9,88.0,88.9,99.8,99.2,3.9,7.3,10.3,10.3,1018.2,287,2
9,20.5,20.0,19.6,19.2,91.7,92.7,99.6,97.5,3.6,6.9,9.7,9.7,1018.0,287,5
12,20.8,20.0,19.4,19.2,94.1,96.3,96.7,94.2,2.9,5.7,9.1,9.1,1019.4,287,8
15,22.7,21.3,19.3,18.9,89.2,93.5,97.7,92.6,3.2,4.0,4.6,4.6,1018.8,287,11
18,23.5,22.3,19.6,18.9,86.8,90.2,98.0,95.4,3.4,4.4,3.5,3.5,1016.5,287,14
21,22.5,21.7,19.6,18.8,91.9,94.1,98.7,97.9,3.9,6.4,6.1,6.1,1016.4,287,17
24,21.4,20.6,19.3,18.7,95.5,97.3,99.4,99.7,3.7,6.8,8.1,8.1,1017.5,287,20
27,20.1,19.4,17.9,17.7,95.1,96.2,99.0,99.5,4.8,8.1,10.5,10.5,1017.7,287,23
30,18.6,17.8,15.8,16.1,92.8,93.6,97.7,98.6,5.4,9.3,13.0,13.0,1017.7,288,2
33,17.6,16.8,14.5,14.7,91.1,92.0,96.2,94.4,4.6,8.2,13.4,13.4,1018.0,288,5
36,17.5,16.3,14.1,14.4,87.6,89.7,88.3,86.2,4.3,7.1,13.1,13.1,1019.8,288,8
39,19.1,17.4,14.0,14.1,77.7,83.0,93.3,88.0,4.6,6.6,10.2,10.2,1020.1,288,11
42,19.9,18.5,14.5,13.1,74.1,77.5,93.1,97.7,5.3,7.9,8.7,8.7,1018.7,288,14
