fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,19.7,22.5,20.8,18.8,60.1,45.8,39.5,42.5,4.9,9.2,10.3,10.3,1018.1,290,20
3,18.2,20.4,20.9,19.0,65.6,52.7,35.7,38.6,6.0,8.6,10.9,10.9,1018.0,290,23
6,16.5,19.5,20.4,18.6,72.9,55.3,41.6,44.8,5.0,6.2,8.2,8.2,1017.7,291,2
9,15.3,19.1,20.1,18.4,79.6,57.0,46.6,49.2,4.4,4.9,7.3,7.3,1017.3,291,5
12,18.1,19.2,19.9,18.4,74.1,56.7,47.2,47.5,4.7,5.3,4.8,4.8,1018.4,291,8
15,24.8,22.8,19.9,18.5,52.0,53.0,48.0,47.9,2.9,2.9,2.3,2.3,1018.5,291,11
18,26.8,25.4,21.0,18.9,44.4,43.7,52.3,55.4,1.7,1.6,0.9,0.9,1015.4,291,14
21,24.0,25.3,21.3,19.2,64.2,45.3,51.7,55.8,1.5,2.4,1.5,1.5,1015.2,291,17
24,19.3,24.2,21.0,19.1,76.5,49.2,51.8,53.8,2.5,2.7,2.7,2.7,1016.2,291,20
27,17.8,23.3,20.8,19.3,83.3,52.2,51.8,50.9,3.9,3.8,3.3,3.3,1016.9,291,23
30,17.1,21.9,20.6,19.0,85.2,58.6,53.7,54.3,2.2,2.4,2.8,2.8,1016.4,292,2
33,15.7,20.5,20.0,18.4,91.6,64.5,56.6,57.7,1.4,1.8,1.1,1.1,1016.4,292,5
36,18.7,19.2,19.1,17.7,82.3,71.4,60.9,61.9,0.3,1.1,2.5,2.5,1017.6,292,8
39,24.3,22.3,18.7,17.4,61.1,64.0,67.0,64.8,0.3,0.1,1.7,1.7,1017.1,292,11
42,25.9,24.4,20.0,17.8,53.9,55.2,67.2,73.9,1.0,1.3,1.5,1.5,1014.8,292,14
