fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,10.8,11.8,8.7,7.0,71.8,60.8,70.3,75.5,2.4,5.9,6.7,6.7,1027.9
3,8.3,10.4,8.7,7.2,82.3,68.4,70.6,74.8,2.1,4.5,4.4,4.4,1027.8
6,7.8,9.6,8.5,7.2,86.8,73.5,71.3,71.0,1.4,1.5,2.1,2.1,1026.6
9,6.7,9.2,8.1,7.1,92.8,75.4,71.1,62.9,0.4,1.5,3.7,3.7,1026.1
12,7.1,8.9,7.5,6.7,91.9,75.6,70.6,60.6,2.1,4.7,5.6,5.6,1027.7
15,13.0,10.1,7.2,6.6,63.1,71.7,68.1,57.8,3.3,4.9,6.5,6.5,1028.1
18,15.1,12.6,8.4,6.6,51.7,56.3,69.1,67.7,2.8,3.9,4.4,4.4,1025.9
21,11.1,12.7,8.8,7.6,69.4,55.2,65.9,56.7,2.3,3.0,3.5,3.5,1026.2
24,8.6,12.1,8.9,8.4,78.3,57.6,59.1,47.1,2.1,2.0,3.2,3.2,1026.9
27,7.7,11.6,9.3,9.3,80.5,59.0,53.5,39.5,1.6,0.9,3.0,3.0,1027.1
30,5.5,11.0,9.0,9.1,88.9,61.3,55.1,38.3,2.1,2.2,1.8,1.8,1027.1
33,4.4,10.3,8.3,8.4,92.6,64.0,58.6,40.5,2.5,3.3,2.2,2.2,1027.1
36,5.7,9.7,7.9,8.0,91.0,66.9,58.0,38.5,1.7,4.3,2.7,2.7,1028.4
39,13.4,10.5,7.8,8.1,60.2,67.5,58.8,35.9,1.6,3.3,3.3,3.3,1028.4
42,15.6,13.1,8.9,8.2,49.7,53.9,64.3,43.9,1.6,2.9,4.1,4.1,1026.1
