fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.0,3.9,1.2,0.3,93.0,95.6,99.9,99.8,3.6,7.4,11.5,11.5,1023.1
3,4.3,3.0,0.5,0.1,94.3,96.5,99.7,99.7,4.6,8.4,10.9,10.9,1023.6
6,3.2,1.9,0.0,0.1,94.9,96.8,98.3,99.2,4.0,7.1,10.0,10.0,1024.0
9,2.5,1.1,-0.7,-0.2,95.0,96.6,97.3,99.1,3.6,7.9,8.6,8.6,1024.2
12,2.1,0.5,-0.8,-0.3,93.2,96.7,94.9,98.6,3.2,5.7,6.2,6.2,1025.5
15,2.3,0.3,-0.9,-0.6,87.5,94.9,92.6,97.7,3.8,5.1,6.1,6.1,1026.1
18,3.6,1.6,-1.0,-0.4,78.7,86.4,92.9,94.9,1.9,2.5,2.3,2.3,1024.0
21,3.4,1.9,-0.9,-0.3,77.6,83.8,92.2,93.7,2.6,3.8,3.3,3.3,1024.8
24,3.0,1.5,-0.2,0.2,77.6,82.4,84.8,91.4,2.4,3.8,3.6,3.6,1025.2
27,2.6,1.3,-0.2,0.2,79.0,80.8,80.0,88.4,0.9,1.4,1.5,1.5,1025.5
30,2.0,1.2,-0.2,0.3,80.8,79.4,79.0,87.4,1.3,2.0,0.7,0.7,1025.5
33,2.1,1.0,0.3,0.9,77.8,76.9,76.9,87.1,1.8,2.8,2.3,2.3,1024.7
36,2.4,1.0,0.7,1.4,75.4,76.2,74.9,86.1,1.3,2.5,1.8,1.8,1025.5
39,5.2,2.8,0.7,1.3,62.7,69.5,72.0,84.2,0.6,0.9,1.7,1.7,1026.0
42,6.5,4.5,1.1,1.9,59.3,64.0,76.2,82.1,1.5,2.1,2.6,2.6,1023.2
