fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,17.7,19.9,16.5,14.4,66.4,50.7,57.3,63.3,2.3,5.2,7.0,7.0,1021.6,278,20
3,16.6,18.2,16.1,14.2,71.3,59.1,59.7,65.7,4.0,7.8,8.3,8.3,1022.0,278,23
6,15.6,16.5,15.5,13.9,75.8,67.6,64.0,69.2,3.0,8.1,9.5,9.5,1021.3,279,2
9,14.6,15.7,15.0,13.5,81.3,72.8,69.1,72.0,2.2,6.5,8.3,8.3,1020.8,279,5
12,17.2,15.7,14.9,13.5,74.1,74.0,68.6,71.6,2.6,6.6,7.4,7.4,1021.8,279,8
15,22.4,19.8,15.4,13.6,55.9,60.2,72.9,74.9,2.4,3.5,4.6,4.6,1021.6,279,11
18,24.3,22.3,17.9,15.8,51.2,53.6,66.1,73.4,2.2,3.1,3.9,3.9,1018.9,279,14
21,22.4,21.5,17.9,16.1,63.2,63.0,72.6,79.3,3.2,5.2,5.1,5.1,1018.7,279,17
24,20.3,19.5,17.2,15.7,75.9,76.1,79.9,85.9,3.3,6.5,6.7,6.7,1019.8,279,20
27,19.8,19.2,17.2,15.9,79.1,77.4,79.7,86.2,2.9,5.8,8.6,8.6,1020.0,279,23
30,19.2,18.7,16.5,15.5,84.5,82.0,84.6,86.6,2.9,4.7,6.7,6.7,1019.5,280,2
33,18.5,18.0,16.1,15.3,92.4,88.4,88.1,85.9,3.7,4.7,4.6,4.6,1019.6,280,5
36,18.7,17.6,16.1,15.2,91.3,91.7,89.3,87.0,3.6,5.5,5.1,5.1,1020.8,280,8
39,20.4,18.6,16.0,14.9,82.1,88.2,92.2,91.4,2.9,3.6,5.1,5.1,1020.7,280,11
42,21.8,20.2,16.2,14.9,74.6,78.8,92.4,93.0,2.8,3.1,2.9,2.9,1018.8,280,14
