fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,4.3,6.6,3.4,1.6,66.6,42.1,46.2,50.8,2.3,5.5,8.0,8.0,1026.1,312,20
3,3.3,6.2,3.2,1.5,75.6,43.8,44.9,47.8,2.2,3.9,7.3,7.3,1027.4,312,23
6,3.7,6.3,3.6,1.9,74.6,44.3,42.4,43.9,1.7,5.3,8.7,8.7,1026.3,313,2
9,3.1,5.9,4.0,2.3,75.5,47.2,37.7,37.0,2.2,6.9,8.7,8.7,1024.8,313,5
12,5.3,4.9,4.2,2.7,67.0,49.8,33.5,32.1,3.1,8.6,7.9,7.9,1025.8,313,8
15,10.6,7.8,4.1,3.0,41.2,42.0,39.2,32.4,4.2,6.0,8.9,8.9,1024.9,313,11
18,12.5,10.5,6.2,4.1,35.0,33.5,41.4,45.5,5.4,7.8,9.1,9.1,1022.1,313,14
21,10.6,10.8,7.1,5.2,43.2,35.4,37.4,38.4,3.4,7.5,11.1,11.1,1020.9,313,17
24,8.3,10.3,7.9,6.0,53.0,38.8,36.2,37.8,3.7,8.6,14.2,14.2,1021.1,313,20
27,7.1,9.3,7.9,6.1,57.4,42.7,35.4,36.4,3.0,9.1,14.8,14.8,1021.7,313,23
30,6.3,8.2,7.4,5.7,60.3,46.8,32.7,32.1,3.8,9.8,16.1,16.1,1020.8,314,2
33,5.7,7.7,7.0,5.4,61.1,47.2,31.5,30.3,3.5,9.1,15.4,15.4,1020.0,314,5
36,7.4,7.4,6.7,5.3,61.1,46.9,29.5,28.7,3.6,8.8,13.5,13.5,1021.4,314,8
39,12.8,10.6,6.6,5.4,38.6,38.1,37.2,29.6,5.0,7.2,10.3,10.3,1021.0,314,11
42,14.4,12.7,8.4,6.3,33.9,31.3,38.3,42.4,5.1,7.3,8.6,8.6,1018.9,314,14
