fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,16.4,19.3,15.6,13.6,79.6,57.7,65.2,70.5,2.3,3.6,3.3,3.3,1021.0,282,20
3,15.3,18.0,15.1,13.1,79.8,57.3,64.3,69.2,1.7,5.3,3.0,3.0,1021.2,282,23
6,14.5,16.7,14.6,12.8,79.1,57.2,62.7,67.8,2.4,4.0,1.8,1.8,1019.6,283,2
9,14.0,16.1,14.3,12.5,79.8,56.8,61.5,67.4,1.8,2.5,1.8,1.8,1018.5,283,5
12,16.2,16.1,14.1,12.4,73.7,56.4,60.2,66.8,2.0,2.5,1.0,1.0,1019.2,283,8
15,21.1,19.0,14.6,12.6,51.4,52.2,63.8,69.5,0.6,0.6,0.8,0.8,1018.9,283,11
18,22.7,21.0,16.6,14.4,46.8,46.3,56.8,62.8,0.7,0.7,1.3,1.3,1016.3,283,14
21,20.9,21.2,17.2,15.1,63.7,46.2,54.5,59.6,1.7,2.0,0.9,0.9,1015.1,283,17
24,16.5,20.2,17.1,15.4,72.3,48.3,53.5,54.2,3.9,3.8,1.5,1.5,1016.0,283,20
27,15.8,19.0,17.7,16.8,72.6,51.4,49.1,48.1,5.5,5.6,2.7,2.7,1016.2,283,23
30,15.0,17.9,18.4,17.5,74.2,55.5,46.7,51.9,6.0,6.1,3.9,3.9,1015.6,284,2
33,14.1,17.8,19.0,17.7,80.7,57.7,49.4,56.0,4.4,4.6,5.3,5.3,1015.9,284,5
36,17.5,18.4,19.1,18.0,73.9,58.1,54.7,59.0,1.9,2.6,6.5,6.5,1017.2,284,8
39,22.8,21.0,18.9,18.1,59.6,60.2,57.2,58.4,0.9,1.1,6.1,6.1,1017.2,284,11
42,24.7,23.3,19.1,17.6,55.0,54.9,65.9,64.1,0.7,0.7,2.1,2.1,1015.5,284,14
