fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,8.7,8.5,5.3,4.0,83.2,82.5,94.0,97.6,2.7,3.2,4.0,4.0,1019.3,37,20
3,7.9,7.5,5.0,3.8,88.3,89.6,97.4,99.2,4.2,5.0,4.0,4.0,1020.1,37,23
6,7.7,6.9,5.0,3.9,90.7,93.8,97.7,98.3,3.8,5.2,4.1,4.1,1021.1,38,2
9,7.6,6.7,4.9,4.0,92.5,96.0,98.6,98.8,3.0,4.8,3.7,3.7,1021.2,38,5
12,7.7,6.4,4.7,3.9,92.0,97.5,99.8,99.7,3.2,4.8,4.3,4.3,1023.0,38,8
15,9.0,7.1,4.6,3.9,84.3,93.0,99.8,99.9,2.7,3.7,3.5,3.5,1024.3,38,11
18,10.2,8.4,4.9,3.9,77.8,85.2,99.7,99.7,2.0,2.8,2.5,2.5,1022.2,38,14
21,10.2,8.8,5.1,4.1,77.3,82.3,98.6,99.0,2.9,4.1,4.3,4.3,1022.8,38,17
24,8.2,8.3,5.5,4.5,86.8,82.5,92.3,95.1,1.8,5.0,4.7,4.7,1023.9,38,20
27,7.3,7.8,5.6,4.5,88.2,79.6,85.8,92.5,2.4,6.2,6.0,6.0,1024.8,38,23
30,7.1,7.3,5.7,4.5,81.5,73.2,76.5,87.4,2.9,7.0,7.7,7.7,1024.5,39,2
33,6.5,6.2,5.2,4.3,76.4,73.9,72.6,79.2,3.5,8.2,10.5,10.5,1024.0,39,5
36,6.4,5.3,4.6,3.8,70.8,70.7,73.4,70.4,4.0,9.1,13.6,13.6,1026.0,39,8
39,9.2,6.7,4.1,4.1,59.1,66.2,46.1,38.4,4.4,7.2,14.8,14.8,1026.1,39,11
42,9.5,7.9,4.1,2.9,63.4,64.0,71.1,60.3,4.5,7.8,11.2,11.2,1023.0,39,14
