fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.7,4.5,4.0,6.1,90.3,94.6,98.3,99.0,6.5,7.5,8.7,8.7,1019.1
3,4.2,2.9,0.8,2.7,93.9,96.1,98.4,96.5,6.9,8.3,12.1,12.1,1020.3
6,3.1,1.8,0.1,1.3,93.8,96.1,96.8,94.6,6.3,9.2,13.3,13.3,1021.8
9,2.3,0.9,-1.3,0.1,93.5,96.0,98.7,97.5,6.4,8.9,12.2,12.2,1022.5
12,1.3,-0.4,-2.9,-1.6,92.2,95.0,99.2,98.9,6.9,8.9,12.0,12.0,1024.5
15,1.1,-0.8,-3.6,-2.6,89.2,92.4,99.2,98.1,7.9,9.7,11.0,11.0,1026.9
18,1.5,-0.6,-4.0,-4.0,79.9,86.1,99.5,97.7,8.4,9.8,10.1,10.1,1026.8
21,1.2,-0.7,-4.6,-5.7,69.8,76.6,95.6,96.2,9.2,11.3,13.4,13.4,1029.7
24,1.0,-1.2,-5.1,-6.5,65.3,72.6,90.6,90.1,8.8,11.0,13.8,13.8,1032.9
27,0.4,-1.9,-5.7,-6.5,60.2,67.6,82.3,73.9,8.1,10.4,12.9,12.9,1035.3
30,-0.9,-2.9,-6.0,-6.8,60.8,65.1,64.2,57.1,7.5,10.4,14.2,14.2,1035.6
33,-2.2,-4.0,-6.8,-8.1,62.7,65.3,63.4,66.0,6.4,9.1,13.8,13.8,1035.6
36,-2.7,-5.1,-8.1,-9.4,65.1,68.9,67.6,69.9,4.5,7.8,11.6,11.6,1039.3
39,-0.5,-4.2,-8.2,-10.0,48.6,58.4,75.1,66.9,4.7,5.5,6.5,6.5,1039.5
42,1.3,-2.2,-6.3,-8.4,38.0,43.2,56.9,66.1,5.2,6.1,6.7,6.7,1036.7
