fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,12.4,14.6,11.5,10.9,86.7,72.0,73.9,52.0,2.1,4.7,2.6,2.6,1021.7
3,10.4,13.7,11.3,11.2,93.5,77.6,76.5,42.2,2.2,3.8,2.6,2.6,1021.4
6,9.5,12.9,11.3,11.6,96.0,82.3,73.6,33.6,0.2,2.1,1.7,1.7,1020.7
9,8.2,12.2,11.2,11.4,98.5,86.5,70.7,35.1,1.0,1.0,0.5,0.5,1019.9
12,9.7,11.3,11.3,11.4,94.6,91.0,65.9,34.3,1.7,2.8,3.0,3.0,1020.2
15,15.6,13.3,11.4,11.5,75.5,83.6,67.5,37.2,2.9,3.4,5.0,5.0,1019.5
18,18.2,16.5,12.4,11.7,61.2,64.3,73.7,47.6,2.8,3.6,5.0,5.0,1016.3
21,14.8,16.4,13.1,12.3,76.4,64.8,65.8,49.0,2.1,4.8,6.8,6.8,1015.4
24,11.9,15.6,13.2,12.1,87.8,67.6,65.9,55.8,2.2,5.3,7.0,7.0,1016.4
27,11.2,14.2,13.4,12.0,88.9,72.6,65.3,63.6,2.2,5.9,6.7,6.7,1016.7
30,9.7,12.7,13.4,11.9,93.2,80.3,64.1,63.1,2.2,4.9,5.1,5.1,1016.4
33,8.7,12.2,13.3,12.0,95.8,82.7,61.6,57.5,2.0,3.8,3.8,3.8,1016.2
36,10.4,11.7,13.2,11.8,93.4,84.6,61.1,56.8,2.0,3.8,3.0,3.0,1018.2
39,17.3,15.2,13.2,11.8,69.3,74.6,62.5,59.9,2.4,3.0,3.3,3.3,1018.2
42,19.8,18.3,14.0,11.9,55.7,56.9,68.5,73.6,2.4,3.1,3.9,3.9,1015.4
