fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,9.3,8.0,4.3,2.6,76.2,79.3,90.9,93.0,7.3,11.6,15.8,15.8,1027.2,330,20
3,7.8,7.3,4.5,3.0,75.3,73.1,72.2,68.7,4.0,8.7,13.3,13.3,1028.5,330,23
6,7.0,6.5,3.7,2.4,54.7,50.2,38.7,32.2,8.0,13.0,18.8,18.8,1028.3,331,2
9,5.0,4.7,2.3,1.1,43.4,37.3,32.1,31.1,6.1,10.5,15.2,15.2,1028.7,331,5
12,4.4,3.4,1.0,-0.4,47.8,37.1,29.5,29.8,4.0,7.4,11.0,11.0,1029.6,331,8
15,8.3,5.1,0.9,-1.1,29.2,30.9,38.2,40.3,4.1,5.8,6.9,6.9,1029.6,331,11
18,9.7,7.0,2.8,0.7,26.4,26.8,33.7,38.0,5.0,7.1,8.2,8.2,1026.3,331,14
21,8.3,7.6,3.8,1.9,30.5,26.4,29.2,29.1,2.7,6.6,9.4,9.4,1025.3,331,17
24,6.7,7.8,4.8,3.4,36.4,24.2,19.3,17.5,2.8,8.2,12.1,12.1,1025.0,331,20
27,5.1,8.2,6.1,4.8,44.1,22.9,21.1,23.3,2.6,7.7,13.0,13.0,1025.5,331,23
30,4.8,7.6,6.4,4.7,48.3,29.9,27.8,31.0,2.8,9.0,15.3,15.3,1024.7,332,2
33,5.0,6.3,4.5,3.0,51.1,40.1,37.6,35.2,5.1,11.7,18.3,18.3,1024.8,332,5
36,5.5,4.3,1.5,0.1,41.7,36.8,27.6,22.9,6.1,10.5,16.5,16.5,1027.3,332,8
39,9.3,6.4,2.2,0.2,23.1,23.5,28.5,30.4,6.8,9.9,12.3,12.3,1027.8,332,11
42,10.5,8.1,3.9,1.8,22.0,21.3,26.7,30.2,6.7,9.4,10.8,10.8,1025.0,332,14
