fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,3.4,5.3,2.3,0.9,75.4,59.1,61.2,53.1,5.0,7.5,5.8,5.8,1030.5
3,1.7,3.6,1.3,0.1,81.7,65.1,62.4,51.9,3.7,8.8,7.1,7.1,1030.9
6,0.2,1.7,0.4,-0.2,89.5,78.2,71.5,50.9,2.9,8.1,5.5,5.5,1030.6
9,-0.9,0.1,-0.3,-0.7,92.2,81.1,77.4,55.8,2.9,8.3,4.8,4.8,1030.4
12,-0.8,-0.9,-0.7,-0.9,89.5,82.6,72.0,53.6,2.7,7.8,5.5,5.5,1031.1
15,4.7,1.4,-0.3,-0.5,63.7,74.7,59.9,47.1,2.5,3.8,4.9,4.9,1031.0
18,7.7,4.9,0.9,-0.1,50.1,55.4,65.7,50.5,1.4,1.9,2.7,2.7,1027.8
21,5.2,5.5,1.9,1.3,63.2,53.0,59.6,42.8,0.4,2.6,3.4,3.4,1026.5
24,1.9,5.0,2.1,2.6,77.2,56.1,55.4,30.9,2.2,5.4,3.7,3.7,1026.6
27,0.6,4.4,2.6,3.5,84.6,61.0,50.8,28.9,3.0,5.5,3.8,3.8,1026.4
30,-0.5,3.7,3.0,3.9,88.5,64.6,48.1,30.0,1.7,4.0,1.1,1.1,1025.7
33,-0.5,3.3,3.4,3.9,90.0,66.5,44.0,30.5,2.1,3.4,0.8,0.8,1024.3
36,0.7,3.0,3.9,4.4,86.3,68.6,38.7,24.8,1.3,3.3,1.4,1.4,1024.7
39,4.0,3.0,3.6,3.9,74.7,71.7,41.1,28.8,0.5,2.6,2.2,2.2,1025.2
42,4.8,3.3,2.5,2.0,78.8,78.2,54.3,47.9,1.9,2.4,2.6,2.6,1023.9
