fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,27.0,30.8,28.6,26.9,69.7,49.7,44.7,45.3,2.3,3.4,6.3,6.3,1014.0
3,25.6,28.5,28.1,26.3,71.1,55.3,44.2,45.5,2.4,5.2,4.4,4.4,1014.9
6,23.6,27.0,27.5,25.8,77.4,59.4,45.8,47.4,1.9,3.3,4.0,4.0,1014.6
9,22.2,25.2,26.4,25.0,84.3,68.1,51.2,50.8,1.4,1.1,3.3,3.3,1015.0
12,24.4,23.0,24.1,24.0,79.4,83.0,65.2,57.5,1.0,1.3,0.6,0.6,1017.1
15,28.5,26.2,22.1,22.5,65.1,70.4,82.2,68.1,2.7,3.4,2.6,2.6,1017.3
18,30.7,28.9,24.4,22.3,57.2,59.9,73.1,80.2,2.5,3.2,3.6,3.6,1015.2
21,29.6,29.3,25.3,23.4,62.2,59.7,68.6,73.4,2.7,4.2,4.6,4.6,1014.5
24,26.4,26.1,24.0,22.7,73.3,72.9,73.4,75.3,3.6,5.6,8.1,8.1,1016.0
27,24.3,24.4,22.6,21.4,72.3,70.1,61.7,57.3,3.3,7.0,11.1,11.1,1017.1
30,21.9,22.6,21.2,20.3,80.6,75.6,71.9,63.1,2.3,6.0,9.0,9.0,1016.7
33,20.7,21.2,20.2,20.0,89.3,85.9,84.7,70.1,2.4,5.6,7.1,7.1,1016.6
36,23.0,21.5,19.6,19.6,83.7,89.3,92.0,75.3,3.0,4.8,7.5,7.5,1017.0
39,27.4,25.6,21.2,19.2,63.7,67.1,81.1,86.8,2.8,3.9,5.1,5.1,1016.1
42,29.8,28.3,23.8,21.6,50.6,51.4,62.3,68.9,0.6,0.6,1.7,1.7,1013.0
