fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.6,5.9,3.6,3.4,83.3,78.7,78.8,53.0,7.6,9.8,12.3,12.3,1024.4
3,3.0,3.3,2.5,2.6,92.9,88.9,74.6,46.0,6.7,8.2,9.2,9.2,1026.9
6,1.1,2.1,1.3,1.2,95.5,91.0,81.9,51.7,4.7,5.8,6.7,6.7,1027.6
9,0.3,0.5,-0.4,-1.0,95.5,92.7,91.6,76.2,5.6,7.3,5.3,5.3,1027.9
12,0.1,-0.9,-1.7,-2.3,91.1,88.6,85.2,78.1,4.5,5.7,4.8,4.8,1029.7
15,4.1,0.9,-1.6,-1.9,62.5,72.4,74.6,58.3,2.1,2.5,4.3,4.3,1030.3
18,6.9,4.1,-0.0,-1.2,48.5,53.9,66.6,52.8,1.9,2.2,2.8,2.8,1027.3
21,5.5,4.8,0.9,-0.1,56.6,51.0,60.5,42.7,1.1,1.3,1.5,1.5,1026.6
24,1.7,4.3,1.5,1.3,70.2,52.0,46.5,27.9,1.5,0.7,1.1,1.1,1026.8
27,-0.1,4.0,2.5,2.4,79.8,52.3,34.3,25.0,4.6,5.2,4.2,4.2,1026.0
30,-0.1,3.7,4.2,3.9,80.6,55.0,28.1,23.8,5.9,7.2,5.1,5.1,1024.4
33,-0.6,3.7,5.5,4.9,84.5,57.9,31.7,27.2,6.0,7.0,4.2,4.2,1023.1
36,0.4,4.4,6.4,5.7,84.0,55.8,33.1,31.7,6.3,7.1,3.6,3.6,1023.4
39,9.2,6.7,7.7,6.9,55.0,57.1,31.3,30.9,3.9,5.1,4.7,4.7,1022.9
42,13.8,11.9,9.2,8.6,40.7,41.4,31.2,27.1,4.2,4.4,4.9,4.9,1019.7
