fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,14.8,16.9,13.8,11.9,47.9,35.0,35.0,38.0,3.1,7.7,9.4,9.4,1020.7,87,20
3,14.1,14.5,13.7,12.1,47.9,41.3,32.9,36.4,4.1,8.5,9.0,9.0,1020.7,87,23
6,12.5,13.2,13.3,12.1,51.0,43.7,38.7,39.2,3.2,6.2,6.5,6.5,1019.4,88,2
9,11.5,12.1,12.8,11.8,56.8,50.4,41.3,41.0,3.4,6.1,5.9,5.9,1019.0,88,5
12,12.4,11.5,12.7,11.7,61.5,57.5,41.8,41.4,3.1,6.7,3.7,3.7,1019.4,88,8
15,16.3,14.2,12.2,11.3,52.9,55.6,42.3,41.8,4.2,4.8,5.5,5.5,1019.9,88,11
18,18.7,16.8,12.8,11.2,44.1,45.2,48.9,46.2,3.7,4.2,4.1,4.1,1017.7,88,14
21,17.6,16.6,12.8,11.2,46.2,45.2,50.6,49.1,4.1,5.1,4.9,4.9,1016.9,88,17
24,13.3,13.7,11.7,10.7,62.2,57.4,51.0,46.8,4.2,7.9,5.7,5.7,1018.3,88,20
27,10.9,11.5,11.0,10.4,74.8,69.6,55.8,49.5,3.8,7.1,4.5,4.5,1018.5,88,23
30,9.3,10.2,10.2,9.7,87.8,82.1,66.9,57.3,3.5,6.3,4.1,4.1,1017.8,89,2
33,8.9,9.3,9.7,9.3,92.9,90.5,72.7,61.8,2.7,5.8,3.0,3.0,1017.1,89,5
36,11.4,9.7,9.2,8.9,83.3,90.1,79.5,68.6,3.2,5.4,3.7,3.7,1018.5,89,8
39,16.8,14.3,10.0,8.0,61.2,66.9,82.4,90.2,4.1,5.0,5.2,5.2,1018.5,89,11
42,18.5,16.6,12.3,10.2,56.0,59.6,73.5,80.9,3.9,4.9,5.9,5.9,1016.1,89,14
